run_id,pair_id,problem_index,topic,method,full_run_total_tokens,full_run_wall_time_seconds,full_run_model_duration_seconds,method_total_tokens,method_duration_seconds,selected_candidate_id,selected_answer,selected_normalized_answer,selected_confidence,is_correct,selected_agent_id,selected_model,selected_stage,initial_any_correct,initial_both_wrong,post_any_correct,correct_to_wrong,wrong_to_correct,preserved_correct,candidate_oracle_possible,selection_info
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,single_A,4794,107.99078559875488,49.9657156,253,2.2351552,A0,2184,2184,90.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,single_B,4794,107.99078559875488,49.9657156,928,32.8614797,B0,2592,2592,100.0,False,qwen3_8b__llama31_8b__B,llama3.1:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,stateless_debate,4794,107.99078559875488,49.9657156,4794,49.9657156,A1,2184,2184,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,4cand_majority,4794,107.99078559875488,49.9657156,4794,49.9657156,A1,2184,2184,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,4cand_confidence,4794,107.99078559875488,49.9657156,4794,49.9657156,B0,2592,2592,100.0,False,qwen3_8b__llama31_8b__B,llama3.1:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,oracle_candidate,4794,107.99078559875488,49.9657156,4794,49.9657156,A0,2184,2184,90.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,overall_reliability,4794,107.99078559875488,49.9657156,4794,49.9657156,A1,2184,2184,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,"{'mode': 'overall', 'selected_candidate_id': 'A1', 'selected_score': 0.4, 'candidate_scores': [{'candidate_id': 'A1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}, {'candidate_id': 'A0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}, {'candidate_id': 'B1', 'answer': '2592', 'normalized_answer': '2592', 'score': 0.3, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.3, 'source': 'pair_agent_stage'}}, {'candidate_id': 'B0', 'answer': '2592', 'normalized_answer': '2592', 'score': 0.2, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.2, 'source': 'pair_agent_stage'}}]}"
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,agent_topic_reliability,4794,107.99078559875488,49.9657156,4794,49.9657156,A0,2184,2184,90.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,"{'mode': 'agent_topic', 'selected_candidate_id': 'A0', 'selected_score': 0.4166666666666667, 'candidate_scores': [{'candidate_id': 'A0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4166666666666667, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.4166666666666667, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.4}}, {'candidate_id': 'A1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.3333333333333333, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.3333333333333333, 'topic_correct': 0, 'topic_total': 2, 'prior': 0.4}}, {'candidate_id': 'B1', 'answer': '2592', 'normalized_answer': '2592', 'score': 0.3333333333333333, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.3333333333333333, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.3}}, {'candidate_id': 'B0', 'answer': '2592', 'normalized_answer': '2592', 'score': 0.16666666666666666, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.16666666666666666, 'topic_correct': 0, 'topic_total': 2, 'prior': 0.2}}]}"
qwen3_8b__llama31_8b__0,qwen3_8b__llama31_8b,0,intermediate_algebra,pac_math_pair_topic_stage,4794,107.99078559875488,49.9657156,4794,49.9657156,A0,2184,2184,90.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,"{'mode': 'pair_topic_stage', 'selected_candidate_id': 'A0', 'selected_score': 0.4166666666666667, 'candidate_scores': [{'candidate_id': 'A0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4166666666666667, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.4166666666666667, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'A1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.3333333333333333, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.3333333333333333, 'topic_correct': 0, 'topic_total': 2, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'B1', 'answer': '2592', 'normalized_answer': '2592', 'score': 0.3333333333333333, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.3333333333333333, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.3, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'B0', 'answer': '2592', 'normalized_answer': '2592', 'score': 0.16666666666666666, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.16666666666666666, 'topic_correct': 0, 'topic_total': 2, 'prior': 0.2, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}]}"
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,single_A,2672,37.45291519165039,25.0943573,288,2.2327088,A0,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,single_B,2672,37.45291519165039,25.0943573,364,7.2153265,B0,3,3,100.0,False,qwen3_8b__llama31_8b__B,llama3.1:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,stateless_debate,2672,37.45291519165039,25.0943573,2672,25.0943573,A1,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,4cand_majority,2672,37.45291519165039,25.0943573,2672,25.0943573,A0,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,4cand_confidence,2672,37.45291519165039,25.0943573,2672,25.0943573,A0,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,oracle_candidate,2672,37.45291519165039,25.0943573,2672,25.0943573,A0,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,overall_reliability,2672,37.45291519165039,25.0943573,2672,25.0943573,A0,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,"{'mode': 'overall', 'selected_candidate_id': 'A0', 'selected_score': 0.4, 'candidate_scores': [{'candidate_id': 'A0', 'answer': '14', 'normalized_answer': '14', 'score': 0.4, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}, {'candidate_id': 'A1', 'answer': '14', 'normalized_answer': '14', 'score': 0.4, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}, {'candidate_id': 'B1', 'answer': '7', 'normalized_answer': '7', 'score': 0.3, 'confidence': 80.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.3, 'source': 'pair_agent_stage'}}, {'candidate_id': 'B0', 'answer': '3', 'normalized_answer': '3', 'score': 0.2, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.2, 'source': 'pair_agent_stage'}}]}"
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,agent_topic_reliability,2672,37.45291519165039,25.0943573,2672,25.0943573,A0,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,"{'mode': 'agent_topic', 'selected_candidate_id': 'A0', 'selected_score': 0.36363636363636365, 'candidate_scores': [{'candidate_id': 'A0', 'answer': '14', 'normalized_answer': '14', 'score': 0.36363636363636365, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.36363636363636365, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.4}}, {'candidate_id': 'A1', 'answer': '14', 'normalized_answer': '14', 'score': 0.36363636363636365, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.36363636363636365, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.4}}, {'candidate_id': 'B1', 'answer': '7', 'normalized_answer': '7', 'score': 0.2727272727272727, 'confidence': 80.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.2727272727272727, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.3}}, {'candidate_id': 'B0', 'answer': '3', 'normalized_answer': '3', 'score': 0.18181818181818182, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.18181818181818182, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.2}}]}"
qwen3_8b__llama31_8b__1,qwen3_8b__llama31_8b,1,number_theory,pac_math_pair_topic_stage,2672,37.45291519165039,25.0943573,2672,25.0943573,A0,14,14,100.0,False,qwen3_8b__llama31_8b__A,qwen3:8b,independent,False,True,False,False,False,False,False,"{'mode': 'pair_topic_stage', 'selected_candidate_id': 'A0', 'selected_score': 0.36363636363636365, 'candidate_scores': [{'candidate_id': 'A0', 'answer': '14', 'normalized_answer': '14', 'score': 0.36363636363636365, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.36363636363636365, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'A1', 'answer': '14', 'normalized_answer': '14', 'score': 0.36363636363636365, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__A', 'score_info': {'score': 0.36363636363636365, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'B1', 'answer': '7', 'normalized_answer': '7', 'score': 0.2727272727272727, 'confidence': 80.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.2727272727272727, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.3, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'B0', 'answer': '3', 'normalized_answer': '3', 'score': 0.18181818181818182, 'confidence': 100.0, 'stage': 'independent', 'agent_id': 'qwen3_8b__llama31_8b__B', 'score_info': {'score': 0.18181818181818182, 'topic_correct': 0, 'topic_total': 1, 'prior': 0.2, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}]}"
