pair_id,agent_id,topic,stage,correct,total,rate_smoothed_basic
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,intermediate_algebra,independent,11,70,0.16666666666666666
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,intermediate_algebra,independent,14,70,0.20833333333333334
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,intermediate_algebra,post_debate,16,70,0.2361111111111111
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,intermediate_algebra,post_debate,14,70,0.20833333333333334
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,number_theory,independent,10,45,0.23404255319148937
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,number_theory,independent,9,45,0.2127659574468085
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,number_theory,post_debate,18,45,0.40425531914893614
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,number_theory,post_debate,17,45,0.3829787234042553
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,algebra,independent,26,94,0.28125
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,algebra,independent,21,94,0.22916666666666666
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,algebra,post_debate,49,94,0.5208333333333334
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,algebra,post_debate,44,94,0.46875
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,prealgebra,independent,27,66,0.4117647058823529
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,prealgebra,independent,24,66,0.36764705882352944
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,prealgebra,post_debate,42,66,0.6323529411764706
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,prealgebra,post_debate,38,66,0.5735294117647058
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,counting_&_probability,independent,11,40,0.2857142857142857
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,counting_&_probability,independent,7,40,0.19047619047619047
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,counting_&_probability,post_debate,19,40,0.47619047619047616
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,counting_&_probability,post_debate,14,40,0.35714285714285715
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,precalculus,independent,7,41,0.18604651162790697
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,precalculus,independent,6,41,0.16279069767441862
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,precalculus,post_debate,12,41,0.3023255813953488
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,precalculus,post_debate,13,41,0.32558139534883723
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,geometry,independent,6,44,0.15217391304347827
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,geometry,independent,6,44,0.15217391304347827
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__A,geometry,post_debate,9,44,0.21739130434782608
phi4_14b__qwen3_8b_standard_v16,phi4_14b__qwen3_8b_standard_v16__B,geometry,post_debate,12,44,0.2826086956521739
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,intermediate_algebra,independent,14,70,0.20833333333333334
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,intermediate_algebra,independent,11,70,0.16666666666666666
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,intermediate_algebra,post_debate,19,70,0.2777777777777778
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,intermediate_algebra,post_debate,14,70,0.20833333333333334
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,number_theory,independent,9,45,0.2127659574468085
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,number_theory,independent,11,45,0.2553191489361702
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,number_theory,post_debate,14,45,0.3191489361702128
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,number_theory,post_debate,20,45,0.44680851063829785
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,algebra,independent,21,94,0.22916666666666666
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,algebra,independent,24,94,0.2604166666666667
