pair_id,method,n,acc,risk_n,c2w_count,c2w_rate
phi4_14b__qwen3_8b_standard_v16,4cand_confidence,500,0.228,170,57,0.3352941176470588
phi4_14b__qwen3_8b_standard_v16,4cand_majority,500,0.31,170,40,0.23529411764705882
phi4_14b__qwen3_8b_standard_v16,agent_topic_reliability,500,0.392,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,oracle_candidate,500,0.498,170,0,0.0
phi4_14b__qwen3_8b_standard_v16,overall_reliability,500,0.394,170,38,0.2235294117647059
phi4_14b__qwen3_8b_standard_v16,pac_math_accuracy_first,500,0.392,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,pac_math_adaptive_accuracy,500,0.402,170,38,0.2235294117647059
phi4_14b__qwen3_8b_standard_v16,pac_math_adaptive_learned,500,0.402,170,38,0.2235294117647059
phi4_14b__qwen3_8b_standard_v16,pac_math_adaptive_safety,500,0.402,170,38,0.2235294117647059
phi4_14b__qwen3_8b_standard_v16,pac_math_anchor_gate,500,0.28,170,30,0.17647058823529413
phi4_14b__qwen3_8b_standard_v16,pac_math_cross_stage_support,500,0.28,170,30,0.17647058823529413
phi4_14b__qwen3_8b_standard_v16,pac_math_independent_only,500,0.226,170,57,0.3352941176470588
phi4_14b__qwen3_8b_standard_v16,pac_math_pair_topic_stage,500,0.392,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,pac_math_pair_topic_stage_guard,500,0.392,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,pac_math_pair_topic_stage_support_sum,500,0.35,170,31,0.18235294117647058
phi4_14b__qwen3_8b_standard_v16,pac_math_router_accuracy,500,0.386,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,pac_math_router_balanced,500,0.39,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,pac_math_router_safety,500,0.378,170,31,0.18235294117647058
phi4_14b__qwen3_8b_standard_v16,pac_math_safety_first,500,0.364,170,35,0.20588235294117646
phi4_14b__qwen3_8b_standard_v16,pac_math_stage_gate,500,0.392,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,pac_math_utility,500,0.392,170,37,0.21764705882352942
phi4_14b__qwen3_8b_standard_v16,stateless_debate,500,0.39,170,39,0.22941176470588234
qwen3_8b__phi4_14b_standard_v16,4cand_confidence,500,0.232,168,53,0.31547619047619047
qwen3_8b__phi4_14b_standard_v16,4cand_majority,500,0.346,168,25,0.1488095238095238
qwen3_8b__phi4_14b_standard_v16,agent_topic_reliability,500,0.428,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,oracle_candidate,500,0.532,168,0,0.0
qwen3_8b__phi4_14b_standard_v16,overall_reliability,500,0.426,168,33,0.19642857142857142
qwen3_8b__phi4_14b_standard_v16,pac_math_accuracy_first,500,0.428,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_adaptive_accuracy,500,0.444,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_adaptive_learned,500,0.444,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_adaptive_safety,500,0.444,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_anchor_gate,500,0.268,168,34,0.20238095238095238
qwen3_8b__phi4_14b_standard_v16,pac_math_cross_stage_support,500,0.278,168,29,0.17261904761904762
qwen3_8b__phi4_14b_standard_v16,pac_math_independent_only,500,0.23,168,53,0.31547619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_pair_topic_stage,500,0.428,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_pair_topic_stage_guard,500,0.428,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_pair_topic_stage_support_sum,500,0.358,168,30,0.17857142857142858
qwen3_8b__phi4_14b_standard_v16,pac_math_router_accuracy,500,0.43,168,31,0.18452380952380953
qwen3_8b__phi4_14b_standard_v16,pac_math_router_balanced,500,0.43,168,31,0.18452380952380953
qwen3_8b__phi4_14b_standard_v16,pac_math_router_safety,500,0.386,168,26,0.15476190476190477
qwen3_8b__phi4_14b_standard_v16,pac_math_safety_first,500,0.408,168,37,0.22023809523809523
qwen3_8b__phi4_14b_standard_v16,pac_math_stage_gate,500,0.428,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,pac_math_utility,500,0.428,168,32,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,stateless_debate,500,0.382,168,36,0.21428571428571427
