run_id,pair_id,problem_index,topic,method,full_run_total_tokens,full_run_wall_time_seconds,full_run_model_duration_seconds,method_total_tokens,method_duration_seconds,selected_candidate_id,selected_answer,selected_normalized_answer,selected_confidence,is_correct,selected_agent_id,selected_model,selected_stage,initial_any_correct,initial_both_wrong,post_any_correct,correct_to_wrong,wrong_to_correct,preserved_correct,candidate_oracle_possible,selection_info
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,single_A,1862,27.14286708831787,14.7197476,249,5.0543651,A0,2184,2184,90.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,single_B,1862,27.14286708831787,14.7197476,253,1.8341151,B0,2184,2184,90.0,False,qwen3_8b_A__qwen3_8b_B__B,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,stateless_debate,1862,27.14286708831787,14.7197476,1862,14.7197476,A1,2184,2184,100.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,4cand_majority,1862,27.14286708831787,14.7197476,1862,14.7197476,A1,2184,2184,100.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,4cand_confidence,1862,27.14286708831787,14.7197476,1862,14.7197476,A1,2184,2184,100.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,oracle_candidate,1862,27.14286708831787,14.7197476,1862,14.7197476,A0,2184,2184,90.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,independent,False,True,False,False,False,False,False,
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,overall_reliability,1862,27.14286708831787,14.7197476,1862,14.7197476,A1,2184,2184,100.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,"{'mode': 'overall', 'selected_candidate_id': 'A1', 'selected_score': 0.4, 'candidate_scores': [{'candidate_id': 'A1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__A', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}, {'candidate_id': 'B1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__B', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}, {'candidate_id': 'A0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__A', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}, {'candidate_id': 'B0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__B', 'score_info': {'score': 0.4, 'source': 'pair_agent_stage'}}]}"
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,agent_topic_reliability,1862,27.14286708831787,14.7197476,1862,14.7197476,A1,2184,2184,100.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,"{'mode': 'agent_topic', 'selected_candidate_id': 'A1', 'selected_score': 0.42063492063492064, 'candidate_scores': [{'candidate_id': 'A1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.42063492063492064, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__A', 'score_info': {'score': 0.42063492063492064, 'topic_correct': 2, 'topic_total': 4, 'prior': 0.3888888888888889}}, {'candidate_id': 'B1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.42063492063492064, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__B', 'score_info': {'score': 0.42063492063492064, 'topic_correct': 2, 'topic_total': 4, 'prior': 0.3888888888888889}}, {'candidate_id': 'A0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.42063492063492064, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__A', 'score_info': {'score': 0.42063492063492064, 'topic_correct': 2, 'topic_total': 4, 'prior': 0.3888888888888889}}, {'candidate_id': 'B0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.42063492063492064, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__B', 'score_info': {'score': 0.42063492063492064, 'topic_correct': 2, 'topic_total': 4, 'prior': 0.3888888888888889}}]}"
qwen3_8b_A__qwen3_8b_B__0,qwen3_8b_A__qwen3_8b_B,0,intermediate_algebra,pac_math_pair_topic_stage,1862,27.14286708831787,14.7197476,1862,14.7197476,A1,2184,2184,100.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,post_debate,False,True,False,False,False,False,False,"{'mode': 'pair_topic_stage', 'selected_candidate_id': 'A1', 'selected_score': 0.4166666666666667, 'candidate_scores': [{'candidate_id': 'A1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4166666666666667, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__A', 'score_info': {'score': 0.4166666666666667, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'B1', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4166666666666667, 'confidence': 100.0, 'stage': 'post_debate', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__B', 'score_info': {'score': 0.4166666666666667, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'A0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4166666666666667, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__A', 'score_info': {'score': 0.4166666666666667, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}, {'candidate_id': 'B0', 'answer': '2184', 'normalized_answer': '2184', 'score': 0.4166666666666667, 'confidence': 90.0, 'stage': 'independent', 'agent_id': 'qwen3_8b_A__qwen3_8b_B__B', 'score_info': {'score': 0.4166666666666667, 'topic_correct': 1, 'topic_total': 2, 'prior': 0.4, 'prior_source': 'pair_agent_stage', 'alpha': 10.0}}]}"
qwen3_8b_A__qwen3_8b_B__1,qwen3_8b_A__qwen3_8b_B,1,number_theory,single_A,2347,28.604737758636475,16.3797401,288,2.1926777,A0,14,14,100.0,False,qwen3_8b_A__qwen3_8b_B__A,qwen3:8b,independent,False,True,False,False,False,False,False,
