pair_id,agent_id,topic,stage,correct,total,rate_smoothed_basic
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,intermediate_algebra,independent,24,70,0.3472222222222222
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,intermediate_algebra,independent,12,70,0.18055555555555555
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,intermediate_algebra,post_debate,36,70,0.5138888888888888
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,intermediate_algebra,post_debate,33,70,0.4722222222222222
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,number_theory,independent,21,45,0.46808510638297873
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,number_theory,independent,10,45,0.23404255319148937
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,number_theory,post_debate,34,45,0.7446808510638298
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,number_theory,post_debate,38,45,0.8297872340425532
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,algebra,independent,38,94,0.40625
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,algebra,independent,25,94,0.2708333333333333
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,algebra,post_debate,72,94,0.7604166666666666
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,algebra,post_debate,71,94,0.75
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,prealgebra,independent,33,66,0.5
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,prealgebra,independent,28,66,0.4264705882352941
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,prealgebra,post_debate,58,66,0.8676470588235294
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,prealgebra,post_debate,58,66,0.8676470588235294
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,counting_&_probability,independent,16,40,0.40476190476190477
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,counting_&_probability,independent,11,40,0.2857142857142857
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,counting_&_probability,post_debate,25,40,0.6190476190476191
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,counting_&_probability,post_debate,24,40,0.5952380952380952
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,precalculus,independent,13,41,0.32558139534883723
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,precalculus,independent,6,41,0.16279069767441862
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,precalculus,post_debate,20,41,0.4883720930232558
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,precalculus,post_debate,16,41,0.3953488372093023
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,geometry,independent,16,44,0.3695652173913043
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,geometry,independent,6,44,0.15217391304347827
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__A,geometry,post_debate,24,44,0.5434782608695652
qwen36_27b__phi4_14b_standard_v19,qwen36_27b__phi4_14b_standard_v19__B,geometry,post_debate,20,44,0.45652173913043476
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,intermediate_algebra,independent,11,70,0.16666666666666666
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,intermediate_algebra,independent,23,70,0.3333333333333333
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,intermediate_algebra,post_debate,33,70,0.4722222222222222
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,intermediate_algebra,post_debate,35,70,0.5
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,number_theory,independent,11,45,0.2553191489361702
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,number_theory,independent,19,45,0.425531914893617
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,number_theory,post_debate,40,45,0.8723404255319149
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,number_theory,post_debate,32,45,0.7021276595744681
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,algebra,independent,27,94,0.2916666666666667
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,algebra,independent,38,94,0.40625
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,algebra,post_debate,71,94,0.75
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,algebra,post_debate,73,94,0.7708333333333334
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,prealgebra,independent,28,66,0.4264705882352941
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,prealgebra,independent,32,66,0.4852941176470588
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,prealgebra,post_debate,54,66,0.8088235294117647
